zip,cbsa,res_ratio,bus_ratio,oth_ratio,tot_ratio
11210,35620,1.000000000,1.000000000,1.000000000,1.000000000
11223,35620,1.000000000,1.000000000,1.000000000,1.000000000
11233,35620,1.000000000,1.000000000,1.000000000,1.000000000
11237,35620,1.000000000,1.000000000,1.000000000,1.000000000
11372,35620,1.000000000,1.000000000,1.000000000,1.000000000
11360,35620,1.000000000,1.000000000,1.000000000,1.000000000
11420,35620,1.000000000,1.000000000,1.000000000,1.000000000
11561,35620,1.000000000,1.000000000,1.000000000,1.000000000
11563,35620,1.000000000,1.000000000,1.000000000,1.000000000
11691,35620,1.000000000,1.000000000,1.000000000,1.000000000
11581,35620,1.000000000,1.000000000,1.000000000,1.000000000
11705,35620,1.000000000,1.000000000,1.000000000,1.000000000
11733,35620,1.000000000,1.000000000,1.000000000,1.000000000
11742,35620,1.000000000,1.000000000,1.000000000,1.000000000
11720,35620,1.000000000,1.000000000,1.000000000,1.000000000
11721,35620,1.000000000,1.000000000,1.000000000,1.000000000
11727,35620,1.000000000,1.000000000,1.000000000,1.000000000
11778,35620,1.000000000,1.000000000,1.000000000,1.000000000
11779,35620,1.000000000,1.000000000,1.000000000,1.000000000
11948,35620,1.000000000,1.000000000,1.000000000,1.000000000
11950,35620,1.000000000,1.000000000,1.000000000,1.000000000
11967,35620,1.000000000,1.000000000,1.000000000,1.000000000
11961,35620,1.000000000,1.000000000,1.000000000,1.000000000
12062,26460,0.131578947,0.000000000,0.333333333,0.133414933
12047,10580,1.000000000,1.000000000,1.000000000,1.000000000
12051,99999,1.000000000,1.000000000,1.000000000,1.000000000
12027,10580,1.000000000,1.000000000,1.000000000,1.000000000
12068,11220,0.989370401,1.000000000,1.000000000,0.990038314
12157,10580,1.000000000,1.000000000,1.000000000,1.000000000
12202,10580,1.000000000,1.000000000,1.000000000,1.000000000
12155,36580,0.898605830,1.000000000,1.000000000,0.900990099
12166,11220,0.989736070,1.000000000,1.000000000,0.989971347
12201,10580,1.000000000,1.000000000,1.000000000,1.000000000
12197,36580,1.000000000,1.000000000,1.000000000,1.000000000
12207,10580,1.000000000,1.000000000,1.000000000,1.000000000
12153,10580,1.000000000,0.000000000,1.000000000,1.000000000
12136,26460,1.000000000,1.000000000,1.000000000,1.000000000
12090,10580,0.997461008,1.000000000,1.000000000,0.997745572
12137,10580,0.786279683,0.857142857,0.529411765,0.781329923
12148,10580,1.000000000,1.000000000,1.000000000,1.000000000
12816,24020,1.000000000,1.000000000,1.000000000,1.000000000
12822,10580,1.000000000,1.000000000,1.000000000,1.000000000
12997,99999,0.992633517,1.000000000,1.000000000,0.993067591
13045,18660,0.961538462,0.993371997,0.988717949,0.965800184
13039,45060,1.000000000,1.000000000,1.000000000,1.000000000
13041,45060,1.000000000,1.000000000,1.000000000,1.000000000
13053,27060,0.868376068,0.928571429,0.927710843,0.872340426
13054,46540,1.000000000,1.000000000,1.000000000,1.000000000
12842,99999,1.000000000,1.000000000,1.000000000,1.000000000
12843,24020,1.000000000,0.000000000,1.000000000,1.000000000
12903,38460,1.000000000,1.000000000,1.000000000,1.000000000
12855,99999,1.000000000,1.000000000,1.000000000,1.000000000
12920,31660,0.963636364,0.923076923,1.000000000,0.963066202
12861,24020,0.978260870,1.000000000,1.000000000,0.978354978
13082,45060,1.000000000,1.000000000,1.000000000,1.000000000
13413,46540,1.000000000,1.000000000,1.000000000,1.000000000
13433,99999,1.000000000,1.000000000,1.000000000,1.000000000
13425,46540,0.913352273,0.700000000,0.777777778,0.908713693
13346,45060,1.000000000,1.000000000,1.000000000,1.000000000
13410,11220,1.000000000,0.000000000,1.000000000,1.000000000
13411,99999,0.484944532,0.529411765,0.600000000,0.487414188
13202,45060,1.000000000,1.000000000,1.000000000,1.000000000
13203,45060,1.000000000,1.000000000,1.000000000,1.000000000
13162,46540,1.000000000,1.000000000,1.000000000,1.000000000
13215,45060,1.000000000,1.000000000,1.000000000,1.000000000
13210,45060,1.000000000,1.000000000,1.000000000,1.000000000
13320,11220,0.018472906,0.000000000,0.000000000,0.018115942
13309,46540,0.834446919,0.937500000,1.000000000,0.845322526
13302,45060,1.000000000,1.000000000,1.000000000,1.000000000
13324,46540,1.000000000,1.000000000,1.000000000,1.000000000
13669,36300,1.000000000,1.000000000,1.000000000,1.000000000
13667,36300,1.000000000,1.000000000,1.000000000,1.000000000
13843,36580,0.465416178,0.000000000,0.400000000,0.460045662
13838,99999,0.960327727,0.923387097,0.950819672,0.956489401
13634,48060,1.000000000,1.000000000,1.000000000,1.000000000
13603,48060,1.000000000,1.000000000,1.000000000,1.000000000
14009,99999,0.914285714,0.977272727,0.963414634,0.919658727
13865,13780,1.000000000,1.000000000,1.000000000,1.000000000
14094,15380,1.000000000,1.000000000,1.000000000,1.000000000
14125,12860,0.996596324,0.984615385,1.000000000,0.996163683
14134,15380,0.880952381,1.000000000,1.000000000,0.897959184
14203,15380,1.000000000,1.000000000,1.000000000,1.000000000
14218,15380,1.000000000,1.000000000,1.000000000,1.000000000
14202,15380,1.000000000,1.000000000,1.000000000,1.000000000
14217,15380,1.000000000,1.000000000,1.000000000,1.000000000
14213,15380,1.000000000,1.000000000,1.000000000,1.000000000
14204,15380,1.000000000,1.000000000,1.000000000,1.000000000
14051,15380,1.000000000,1.000000000,1.000000000,1.000000000
14043,15380,1.000000000,1.000000000,1.000000000,1.000000000
14052,15380,0.999758978,1.000000000,1.000000000,0.999783901
14223,15380,1.000000000,1.000000000,1.000000000,1.000000000
14476,40380,1.000000000,1.000000000,1.000000000,1.000000000
14525,12860,0.630123928,0.622222222,0.916666667,0.644714038
14607,40380,1.000000000,1.000000000,1.000000000,1.000000000
14606,40380,1.000000000,1.000000000,1.000000000,1.000000000
14551,40380,1.000000000,1.000000000,1.000000000,1.000000000
14569,99999,1.000000000,1.000000000,1.000000000,1.000000000
14454,40380,1.000000000,1.000000000,1.000000000,1.000000000
14450,40380,1.000000000,1.000000000,1.000000000,1.000000000
14425,40380,1.000000000,1.000000000,1.000000000,1.000000000
14739,99999,1.000000000,1.000000000,1.000000000,1.000000000
14741,36460,1.000000000,1.000000000,1.000000000,1.000000000
14770,36460,0.706550218,1.000000000,0.911764706,0.721217105
14772,36460,1.000000000,1.000000000,1.000000000,1.000000000
14861,21300,1.000000000,1.000000000,1.000000000,1.000000000
14851,27060,1.000000000,1.000000000,1.000000000,1.000000000
14718,27460,1.000000000,1.000000000,1.000000000,1.000000000
15033,38300,1.000000000,1.000000000,1.000000000,1.000000000
15003,38300,1.000000000,1.000000000,1.000000000,1.000000000
15022,38300,1.000000000,1.000000000,1.000000000,1.000000000
15106,38300,1.000000000,1.000000000,1.000000000,1.000000000
15090,38300,1.000000000,1.000000000,1.000000000,1.000000000
15131,38300,1.000000000,1.000000000,1.000000000,1.000000000
15136,38300,1.000000000,1.000000000,1.000000000,1.000000000
15129,38300,1.000000000,1.000000000,1.000000000,1.000000000
15144,38300,1.000000000,1.000000000,1.000000000,1.000000000
15133,38300,1.000000000,1.000000000,1.000000000,1.000000000
15142,38300,1.000000000,1.000000000,1.000000000,1.000000000
15063,38300,1.000000000,1.000000000,1.000000000,1.000000000
15074,38300,1.000000000,1.000000000,1.000000000,1.000000000
15045,38300,1.000000000,1.000000000,1.000000000,1.000000000
15059,38300,1.000000000,1.000000000,1.000000000,1.000000000
15212,38300,1.000000000,1.000000000,1.000000000,1.000000000
15203,38300,1.000000000,1.000000000,1.000000000,1.000000000
15236,38300,1.000000000,1.000000000,1.000000000,1.000000000
15237,38300,1.000000000,1.000000000,1.000000000,1.000000000
15232,38300,1.000000000,1.000000000,1.000000000,1.000000000
15320,99999,0.996859050,1.000000000,1.000000000,0.997098295
15301,38300,1.000000000,1.000000000,1.000000000,1.000000000
15342,38300,1.000000000,1.000000000,1.000000000,1.000000000
15480,38300,1.000000000,1.000000000,1.000000000,1.000000000
15411,43740,1.000000000,1.000000000,1.000000000,1.000000000
15377,38300,0.788413098,0.913043478,1.000000000,0.795724466
15637,38300,1.000000000,1.000000000,1.000000000,1.000000000
15656,38300,1.000000000,1.000000000,1.000000000,1.000000000
15670,38300,1.000000000,1.000000000,1.000000000,1.000000000
15701,26860,1.000000000,1.000000000,1.000000000,1.000000000
15714,27780,0.886335144,0.982558140,1.000000000,0.896108802
15563,43740,1.000000000,1.000000000,1.000000000,1.000000000
15857,41260,1.000000000,1.000000000,1.000000000,1.000000000
15784,99999,1.000000000,1.000000000,0.000000000,1.000000000
15829,99999,1.000000000,1.000000000,1.000000000,1.000000000
16055,38300,1.000000000,1.000000000,1.000000000,1.000000000
16063,38300,1.000000000,1.000000000,1.000000000,1.000000000
16057,38300,0.931377685,0.909420290,1.000000000,0.932329610
16052,38300,1.000000000,1.000000000,1.000000000,1.000000000
16037,38300,0.959008580,1.000000000,1.000000000,0.962722150
16102,35260,0.999214762,1.000000000,1.000000000,0.999271137
16127,49660,0.965705765,0.975425331,0.972392638,0.966768248
16130,49660,0.997782705,0.972222222,1.000000000,0.996852046
15931,27780,1.000000000,1.000000000,1.000000000,1.000000000
15905,27780,0.887354508,0.895027624,0.877300613,0.887587606
15920,26860,1.000000000,1.000000000,1.000000000,1.000000000
15901,27780,1.000000000,1.000000000,1.000000000,1.000000000
15958,27780,1.000000000,1.000000000,1.000000000,1.000000000
16137,49660,1.000000000,1.000000000,1.000000000,1.000000000
16353,99999,0.937537902,0.982142857,0.954545455,0.939200926
16354,32740,0.744644550,0.886718750,0.935294118,0.762296458
16373,36340,0.657183499,0.636363636,1.000000000,0.658038147
16341,36340,0.844660194,0.869565217,0.875000000,0.845511482
16434,32740,0.878980892,0.978260870,1.000000000,0.883071553
16424,32740,1.000000000,1.000000000,1.000000000,1.000000000
