,zip,city,state,score
14145,31324,Richmond Hill,GA,0.13392387482822488
14146,31326,Rincon,GA,0.13550766875784193
14147,31327,Sapelo Island,GA,0.0
14148,31328,Tybee Island,GA,0.02939554223576507
14149,31329,Springfield,GA,0.06458770046005854
14150,31331,Townsend,GA,0.058106309744876614
14154,31401,Savannah,GA,0.05039240552070263
14157,31404,Savannah,GA,0.1335199023002928
14158,31405,Savannah,GA,0.24070256085319955
14159,31406,Savannah,GA,0.18109190046005855
14160,31407,Savannah,GA,0.03849474451813347
14161,31408,Savannah,GA,0.04843036587202008
14162,31409,Savannah,GA,0.0
14163,31410,Savannah,GA,0.14876489648085078
14164,31411,Savannah,GA,0.00295626649937265
14167,31415,Savannah,GA,0.044818983186951065
14170,31419,Savannah,GA,0.33923043412798
14178,31501,Waycross,GA,0.10067425907420682
14180,31503,Waycross,GA,0.13956156345223156
14182,31510,Alma,GA,0.0634679959072713
14183,31512,Ambrose,GA,0.01779432250552668
14184,31513,Baxley,GA,0.10404075216884745
14186,31516,Blackshear,GA,0.10305388027424267
14187,31518,Bristol,GA,0.004885850761785265
14188,31519,Broxton,GA,0.02459642333303459
14189,31520,Brunswick,GA,0.09466831711776305
14191,31522,Saint Simons Island,GA,0.060852366517296974
14192,31523,Brunswick,GA,0.11871981377785742
14194,31525,Brunswick,GA,0.2156690166696541
14195,31527,Jekyll Island,GA,0.0
14196,31532,Denton,GA,0.004943788827149429
14197,31533,Douglas,GA,0.07346539739499312
14199,31535,Douglas,GA,0.07137513819680945
14200,31537,Folkston,GA,0.08300838670311285
14201,31539,Hazlehurst,GA,0.09493488325864849
14202,31542,Hoboken,GA,0.024115816645754913
14203,31543,Hortense,GA,0.04348440580749239
14204,31544,Jacksonville,GA,0.0021725471634701553
14205,31545,Jesup,GA,0.10522441232150323
14206,31546,Jesup,GA,0.05377186471589889
14207,31547,Kings Bay,GA,0.0
14208,31548,Kingsland,GA,0.1460805718946048
14209,31549,Lumber City,GA,0.009670593067754077
14210,31550,Manor,GA,0.007840862337933916
14211,31551,Mershon,GA,0.007284553027723008
14212,31552,Millwood,GA,0.0012213202425763279
14213,31553,Nahunta,GA,0.025599853677481035
14214,31554,Nicholls,GA,0.05196864839875725
14215,31555,Odum,GA,0.02656024151281592
14216,31556,Offerman,GA,0.00015245974487662075
14217,31557,Patterson,GA,0.015182987620242578
14218,31558,Saint Marys,GA,0.1375901080121886
14219,31560,Screven,GA,0.019414652755870225
14220,31561,Sea Island,GA,0.0
14221,31562,Saint George,GA,0.018946098561570177
14222,31563,Surrency,GA,0.010774044646591383
14224,31565,Waverly,GA,0.02390717833243712
14225,31566,Waynesville,GA,0.017619377038895854
14226,31567,West Green,GA,0.003874608121228416
14227,31568,White Oak,GA,0.004881330647666846
14228,31569,Woodbine,GA,0.043119242851168076
14231,31601,Valdosta,GA,0.13139966343430723
14232,31602,Valdosta,GA,0.18535545737587378
14235,31605,Valdosta,GA,0.10204475977475057
14236,31606,Valdosta,GA,0.015783717359741888
14239,31620,Adel,GA,0.07980205886658301
14240,31622,Alapaha,GA,0.011779205457967377
14241,31623,Argyle,GA,0.0
14242,31624,Axson,GA,0.007049574843161857
14243,31625,Barney,GA,0.004642608657465495
14244,31626,Boston,GA,0.022177109555177148
14245,31627,Cecil,GA,0.0012924538447750492
14246,31629,Dixie,GA,0.004511019418055805
14247,31630,Du Pont,GA,0.0005673108024138136
14248,31631,Fargo,GA,0.0032623326014219996
