,zip,city,state,score
31678,69129,Chappell,NE,0.008426860488737526
31679,69130,Cozad,NE,0.029242361952560192
31680,69131,Dalton,NE,0.0047289956384059285
31681,69132,Dickens,NE,-0.0004845253032204085
31682,69133,Dix,NE,0.001726177690147577
31683,69134,Elsie,NE,0.003412754304833603
31684,69135,Elsmere,NE,0.0001566058433411006
31685,69138,Gothenburg,NE,0.022394110055565516
31686,69140,Grant,NE,0.010752679739499314
31687,69141,Gurley,NE,0.002469201171058135
31688,69142,Halsey,NE,0.0
31689,69143,Hershey,NE,0.011938547840114716
31690,69144,Keystone,NE,0.0
31691,69145,Kimball,NE,0.020434993726474275
31692,69146,Lemoyne,NE,0.0003369057537193045
31693,69147,Lewellen,NE,0.005949542928840293
31694,69148,Lisco,NE,0.0003690574654956085
31695,69149,Lodgepole,NE,0.005055148831929259
31696,69150,Madrid,NE,0.0009663500029873934
31697,69151,Maxwell,NE,0.010605269761606024
31698,69152,Mullen,NE,0.003299149763995937
31699,69153,Ogallala,NE,0.04215189527394395
31700,69154,Oshkosh,NE,0.007956819023719903
31701,69155,Paxton,NE,0.010672764796558524
31702,69156,Potter,NE,0.00848276795124574
31703,69157,Purdum,NE,9.057776184501405e-05
31705,69161,Seneca,NE,0.00025876121168668217
31706,69162,Sidney,NE,0.051839337515683814
31707,69163,Stapleton,NE,0.005713910019716796
31708,69165,Sutherland,NE,0.008790463237139274
31709,69166,Thedford,NE,0.002113325972396487
31710,69167,Tryon,NE,0.003892274601183008
31711,69168,Venango,NE,0.0010967864491844418
31712,69169,Wallace,NE,0.003365849363685249
31713,69170,Wellfleet,NE,0.002243009499910378
31714,69171,Willow Island,NE,0.0
31716,69201,Valentine,NE,0.022022938399952195
31717,69210,Ainsworth,NE,0.02148868972934218
31718,69211,Cody,NE,0.0032371995459162333
31719,69212,Crookston,NE,0.0008317651908944252
31720,69214,Johnstown,NE,0.0006760971500268864
31721,69216,Kilgore,NE,0.0006278237677003047
31722,69217,Long Pine,NE,0.0008803745474099301
31723,69218,Merriman,NE,0.0008201293421760174
31724,69219,Nenzel,NE,-2.5495441237975603e-05
31725,69220,Sparks,NE,8.667921371810959e-05
31726,69221,Wood Lake,NE,0.001715708191432156
31727,69301,Alliance,NE,0.05416137264742787
31728,69331,Angora,NE,0.0
31729,69333,Ashby,NE,0.0008146621258290019
31730,69334,Bayard,NE,0.013673966230507258
31731,69335,Bingham,NE,6.89357949453307e-05
31732,69336,Bridgeport,NE,0.02109011115492621
31733,69337,Chadron,NE,0.03190855809284818
31734,69339,Crawford,NE,0.007633387871183605
31735,69340,Ellsworth,NE,0.0
31736,69341,Gering,NE,0.06445871828882117
31737,69343,Gordon,NE,0.017068072510007765
31738,69345,Harrisburg,NE,0.004425635275138913
31739,69346,Harrison,NE,0.0028818864790583734
31740,69347,Hay Springs,NE,0.009035805221963315
31741,69348,Hemingford,NE,0.007196182111489515
31743,69350,Hyannis,NE,0.003332741781681305
31744,69351,Lakeside,NE,0.002494748306148055
31745,69352,Lyman,NE,0.005030068112564976
31746,69353,Mcgrew,NE,0.0
31747,69354,Marsland,NE,0.0
31748,69355,Melbeta,NE,0.0005482912110892035
31749,69356,Minatare,NE,0.01261024140526976
31750,69357,Mitchell,NE,0.03148801343131983
31751,69358,Morrill,NE,0.015233649280038238
31752,69360,Rushville,NE,0.004602751365238692
31753,69361,Scottsbluff,NE,0.09958310593296289
31755,69365,Whiteclay,NE,0.0
31756,69366,Whitman,NE,0.001900483814303638
31757,69367,Whitney,NE,0.0007763039971321025
37463,82082,Pine Bluffs,NE,0.006842470442731671
31127,68009,Blair,NE,0.0
31139,68026,Fremont,NE,0.0
31144,68032,Linwood,NE,0.0
31147,68035,Leshara,NE,0.0
31161,68054,Richfield,NE,0.0
31163,68056,St Columbans,NE,0.0
31180,68101,Omaha,NE,0.0
31182,68103,Omaha,NE,0.0
31188,68109,Omaha,NE,0.0
31197,68119,Omaha,NE,0.0
31198,68120,Omaha,NE,0.0
31213,68139,Omaha,NE,0.0
31216,68145,Omaha,NE,0.0
31220,68155,Omaha,NE,0.0
31223,68172,Omaha,NE,0.0
31224,68175,Omaha,NE,0.0
31225,68176,Omaha,NE,0.0
