"GeoFips","GeoName","LineCode","Description","2016"
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.2
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)","1","RPPs: All items",94.2
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)","2","  RPPs: Goods",98.0
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",77.6
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",100.6
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)","1","RPPs: All items",93.7
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)","2","  RPPs: Goods",96.8
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",88.5
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.2
"16620","Charleston, WV (Metropolitan Statistical Area)","1","RPPs: All items",87.3
"16620","Charleston, WV (Metropolitan Statistical Area)","2","  RPPs: Goods",97.4
"16620","Charleston, WV (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",61.7
"16620","Charleston, WV (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)","1","RPPs: All items",96.2
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)","2","  RPPs: Goods",97.9
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",97.6
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)","1","RPPs: All items",93.5
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)","2","  RPPs: Goods",97.4
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",86.5
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"16820","Charlottesville, VA (Metropolitan Statistical Area)","1","RPPs: All items",97.9
"16820","Charlottesville, VA (Metropolitan Statistical Area)","2","  RPPs: Goods",96.9
"16820","Charlottesville, VA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",108.7
"16820","Charlottesville, VA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.5
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)","1","RPPs: All items",89.3
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)","2","  RPPs: Goods",97.6
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",70.8
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"16940","Cheyenne, WY (Metropolitan Statistical Area)","1","RPPs: All items",97.4
"16940","Cheyenne, WY (Metropolitan Statistical Area)","2","  RPPs: Goods",95.4
"16940","Cheyenne, WY (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",94.6
"16940","Cheyenne, WY (Metropolitan Statistical Area)","4","  RPPs: Services: Other",102.0
